start,end,flow
1,2,9166.666666666664
1,3,12466.666666666668
2,6,9266.666666666666
2,1,8133.333333333332
3,4,18100.0
3,1,13499.999999999998
3,12,19200.000000000007
4,3,17766.666666666668
4,11,6633.333333333334
4,5,19066.66666666667
5,4,19066.66666666667
5,9,18066.666666666668
5,6,8833.333333333334
6,8,15200.000000000004
6,5,8100.0
6,2,8099.999999999998
7,18,14666.666666666668
7,8,13900.000000000004
8,6,13633.333333333332
8,16,12300.000000000002
8,7,13033.333333333336
8,9,8366.666666666668
9,10,21833.333333333336
9,5,18533.333333333336
9,8,8566.666666666668
10,16,14233.333333333336
10,9,22666.666666666668
10,17,10133.333333333334
10,15,24666.66666666667
10,11,23366.666666666664
11,14,14600.000000000002
11,12,15666.666666666672
11,4,6400.000000000001
11,10,25833.333333333336
12,3,20566.66666666667
12,11,12733.333333333332
12,13,15333.333333333334
13,12,13866.666666666668
13,24,11600.000000000002
14,11,20966.666666666668
14,23,13900.0
14,15,8833.333333333334
15,19,22733.333333333336
15,14,19600.0
15,22,16533.333333333336
15,10,22233.333333333336
16,8,9666.666666666666
16,17,13300.000000000002
16,10,12233.333333333334
16,18,20966.666666666668
17,19,10933.333333333334
17,10,10133.333333333334
17,16,14000.0
18,20,20233.333333333332
18,7,14300.0
18,16,18500.0
19,20,12333.333333333334
19,15,24300.000000000004
19,17,12233.333333333336
20,21,13766.666666666668
20,19,14133.333333333336
20,22,7700.000000000001
20,18,18933.333333333336
21,24,8333.333333333334
21,22,16300.000000000004
21,20,13566.666666666668
22,15,23266.66666666667
22,21,10133.333333333332
22,23,9433.333333333334
22,20,8633.333333333334
23,22,11833.333333333334
23,14,9533.333333333334
23,24,11766.666666666668
24,13,9866.666666666668
24,23,9000.0
24,21,12966.666666666666
