start,end,flow,travel_time
1,2,4787.792197735944,6.001050923652153
1,3,8628.803140381435,4.011087464438683
2,6,5858.795291919203,6.462194267936089
2,1,5044.284776281923,6.001294876600568
3,4,14894.07778928644,4.344470877049233
3,1,8372.31056183546,4.0098267818383135
3,12,10988.263971704822,4.029157234634776
4,3,14859.87072157408,4.3413171922353895
4,11,5831.738684536564,7.79276729012491
4,5,18667.947341600746,2.3643405615826123
5,4,18420.273311528148,2.3453866394841665
5,9,15869.6516589481,9.756974677056785
5,6,8872.799578081842,10.204071065493958
6,8,12730.346785248328,15.683546128639955
6,5,8757.11923349417,9.886797937620187
6,2,6115.287870465181,6.735559090447096
7,18,15736.563500248114,2.0613252877192467
7,8,12797.731265713428,6.192117777800619
8,6,12871.159019206634,16.299088259875226
8,16,8360.238563532665,10.65207661918036
8,7,12588.939040815783,5.988845622350819
8,9,7002.003282343923,15.543046771003684
9,10,22247.147830897145,5.939534817503967
9,5,15737.65797346317,9.600676256460133
9,8,6976.392583195047,15.462393087618064
10,16,11447.340392283713,22.54565358830366
10,9,22189.543446263346,5.90920759313613
10,17,8281.640327799116,17.078681271571497
10,15,22639.285205592663,13.092749251494695
10,11,18197.682474557612,13.224804712594906
11,14,10784.446506038594,18.351814959758684
11,12,8184.258386994611,12.954229624728441
11,4,6145.205646896799,8.210433134638745
11,10,17039.750067384775,11.322868432650282
12,3,10765.978460871207,4.026868537167077
12,11,8464.759843271018,13.957749475142304
12,13,13594.68334314642,3.0341567377015783
13,12,13752.899288589211,3.0357747865203457
13,24,11061.147579709057,17.367561969190355
14,11,9759.479604949587,13.625471831008118
14,23,8558.854225420833,9.473469342424487
14,15,9910.824805136292,15.468125839582338
15,19,18974.779250380834,4.296304201007743
15,14,8995.825897663399,12.105487909917594
15,22,18282.975207883832,8.921931111738726
15,10,24006.556635880275,14.967745011957856
16,8,8317.869271742202,10.538366869563609
16,17,11495.494637283442,9.002530762180186
16,10,11090.334076721594,20.338127101836438
16,18,16417.496459886708,3.217946038871256
17,19,9941.231565688995,7.410912676285992
17,10,8271.703235612658,17.035185806865556
17,16,11570.09689340343,9.186085108390461
18,20,19564.02131361722,4.2929965489305895
18,7,15945.355725145759,2.064645284293457
18,16,15943.518596414142,3.1938464917970792
19,20,8768.887216296991,9.66426347147302
19,15,19137.195423040375,4.341260600032232
19,17,10005.896729622531,7.553078713821891
20,21,6519.286248212853,8.480108832881129
20,19,8995.968552890063,10.274183603434228
20,22,7387.575361873954,8.365783215989037
20,18,19198.835675042297,4.271724977652507
21,24,9872.655504891767,10.505213022422316
21,22,8801.33603408591,4.406239120008751
21,20,6529.8841388192795,8.49627507080509
22,15,18472.83155803902,9.171770246849384
22,21,8676.579523365606,4.272681511546152
22,23,9539.776671828668,11.951042312764343
22,20,7138.873169285669,7.934925682192349
23,22,9356.174318675265,11.356385030167111
23,14,8448.886231804718,9.197542155988465
23,24,8251.768802202132,4.091051589148591
24,13,11119.363525151848,17.65121083932715
24,23,7958.198455432609,3.8089876506892857
24,21,10008.009906218496,10.92534172916886
