start,end,flow
1,870,0.0
1,854,0.0
2,934,0.0
2,938,7.0
2,893,688.0
3,911,835.5
3,909,833.5
3,929,0.0
3,923,0.0
4,902,324.0
4,917,163.5
4,920,141.5
4,919,0.0
4,932,0.0
5,1029,30.5
5,1010,338.0
5,1009,304.5
6,1018,75.0
6,1008,94.0
6,992,0.0
7,972,165.0
7,970,166.5
7,973,147.0
7,971,241.0
7,974,47.5
8,996,276.0
8,1012,111.0
9,840,141.5
10,839,89.5
10,535,66.0
11,200,691.0
11,166,340.0
12,199,308.5
12,167,181.5
13,170,406.5
14,197,888.5
14,169,267.0
14,191,1263.5
15,189,490.0
15,171,322.5
16,224,768.5
16,195,464.0
17,173,446.5
17,187,785.0
18,174,744.5
18,186,1045.5
19,220,237.5
19,190,314.0
20,183,80.0
20,177,4333.0
21,213,284.5
21,182,157.0
22,262,130.0
23,278,147.0
24,277,277.0
24,266,153.5
25,354,573.5
25,212,402.0
26,260,81.0
27,285,288.5
28,238,4222.0
28,225,1066.0
29,230,458.0
30,245,33.5
30,240,11.5
31,239,760.5
31,237,856.0
32,243,78.5
33,295,21.0
33,273,183.5
33,294,447.0
33,274,74.0
34,272,332.0
35,293,209.5
36,300,565.0
37,305,82.5
38,341,116.5
38,340,237.0
38,336,623.5
38,289,1349.0
39,327,467.0
40,329,451.0
41,311,363.5
42,313,222.0
42,312,505.5
43,332,627.0
44,319,1088.5
45,339,764.0
46,321,352.5
46,334,195.5
47,362,285.0
47,361,207.5
47,360,856.5
48,376,298.0
49,447,296.0
50,378,584.5
51,382,552.0
51,377,186.0
52,443,12.5
52,444,479.0
52,383,338.5
52,446,1765.0
53,405,142.0
54,400,301.0
54,394,0.0
54,404,201.5
55,1035,252.0
55,434,0.0
55,395,139.0
56,393,56.0
56,435,499.0
57,406,281.5
58,432,0.0
58,1035,385.5
58,407,223.5
59,412,121.5
59,413,257.5
60,481,15.0
61,477,12.0
62,420,2484.5
62,421,685.5
63,411,99.0
63,429,137.5
63,418,1797.5
64,419,1826.5
64,418,80.0
65,426,397.0
66,454,425.0
66,1034,1404.5
66,453,66.5
67,441,891.0
68,465,454.0
69,456,623.0
70,468,276.5
70,473,413.5
71,472,175.5
71,467,161.5
72,462,681.0
73,464,490.5
73,457,162.5
74,483,117.5
74,500,54.5
74,501,199.0
75,503,39.0
76,498,473.0
76,485,485.5
77,507,274.5
77,493,257.5
78,504,32.5
79,492,775.0
80,621,79.0
80,620,67.5
80,652,275.0
81,629,597.5
81,628,235.5
81,657,237.5
82,658,332.0
82,653,206.5
83,703,267.5
84,722,65.5
84,720,1518.0
84,701,124.0
84,700,78.5
85,732,0.0
85,721,0.0
86,770,528.5
87,771,336.5
88,777,573.0
88,778,228.5
89,797,249.5
90,786,146.0
90,793,1429.5
90,789,388.0
90,788,109.0
91,798,315.0
91,799,689.0
92,812,1100.5
92,814,1304.0
93,804,0.0
93,817,0.0
94,813,1739.0
95,818,432.0
95,819,370.0
96,558,95.5
97,694,543.0
97,659,96.5
97,648,306.0
97,695,0.0
98,647,258.5
98,601,476.0
98,650,315.0
99,600,101.5
99,644,78.0
100,728,1019.0
100,718,89.5
100,695,21.0
100,694,139.5
101,688,743.5
101,689,329.0
102,687,136.5
102,677,82.5
103,752,2.0
103,751,1.0
104,708,0.0
104,836,385.0
105,755,0.0
106,705,165.5
106,742,426.0
107,546,253.0
107,548,127.5
108,533,99.0
108,532,41.0
109,639,14130.0
109,637,218.0
110,633,61.0
110,670,136.0
110,634,1180.5
110,631,183.0
111,540,7.0
111,579,44.0
111,578,73.0
111,543,14214.5
111,541,167.5
112,524,321.0
112,541,333.0
113,706,74.0
113,684,140.5
114,670,271.5
114,686,14559.0
114,682,88.5
115,633,733.5
115,667,317.0
116,571,336.5
116,570,356.0
117,522,403.0
117,538,421.0
118,665,2555.5
118,567,13503.5
119,520,236.0
120,667,292.0
120,683,728.5
121,519,64.5
122,516,84.5
123,662,27.0
124,511,328.5
125,803,0.0
126,740,0.0
127,338,0.0
128,831,4959.0
128,824,0.0
129,825,0.0
129,830,0.0
130,829,0.0
130,826,0.0
131,779,0.0
132,1032,9.0
133,1033,9.0
134,241,28.0
135,353,7.5
136,348,5219.5
136,335,32.5
137,324,6.0
138,1030,25.5
139,469,19.5
140,488,0.0
141,828,23.0
141,827,26.0
142,801,1.5
143,800,4.5
144,737,52.0
145,660,4.5
146,1031,23.5
147,1048,19.0
147,872,38.0
160,162,401.0
160,203,243.0
161,536,2047.0
161,204,52.0
162,163,144.0
162,161,2099.0
162,164,257.0
163,162,0.0
163,164,510.0
163,527,589.5
164,163,445.5
164,165,767.0
164,162,2099.0
165,166,443.0
165,201,378.5
165,164,2544.5
166,11,217.5
166,165,2291.0
166,167,315.5
167,12,143.5
167,166,2041.0
167,168,250.5
168,169,295.0
168,198,0.0
168,167,1938.0
169,170,263.0
169,168,1938.0
169,14,100.0
170,169,1739.0
170,13,84.5
170,171,429.5
171,172,141.0
171,15,297.5
171,170,1583.5
172,173,141.0
172,171,1270.0
172,189,0.0
173,172,1270.0
173,17,60.5
173,174,143.0
174,175,110.5
174,173,886.0
174,18,95.0
175,174,204.0
175,176,110.5
176,177,110.5
176,175,204.0
177,20,79.5
177,178,4370.5
177,176,204.0
178,177,210.5
178,179,5421.5
178,181,86.0
178,180,27.0
179,181,8244.0
179,180,49.5
179,178,6.0
179,215,1791.0
180,181,43.5
180,182,123.0
180,178,116.5
180,179,0.0
181,178,1271.5
181,514,8373.5
181,180,46.5
181,179,30.5
182,180,160.0
182,21,56.0
182,1032,73.0
183,184,80.0
183,20,4169.0
184,183,4169.0
184,185,80.0
185,186,80.0
185,184,4169.0
186,185,4169.0
186,187,185.0
186,18,184.0
187,186,3422.5
187,188,322.5
187,17,127.0
188,187,2914.5
188,190,76.5
188,220,373.0
188,189,187.5
189,15,187.5
189,188,490.0
189,172,0.0
190,188,2543.5
190,191,129.0
190,19,307.0
191,14,969.5
191,190,2586.0
191,192,114.0
192,193,60.0
192,194,54.0
192,191,2285.5
193,224,83.5
193,194,1756.0
193,192,51.5
194,193,23.5
194,195,62.5
194,192,2234.0
195,16,82.0
195,196,526.5
195,194,516.5
196,209,986.0
196,198,364.5
196,195,592.0
197,198,888.5
197,14,887.5
198,197,887.5
198,168,44.5
198,199,420.0
198,196,881.0
199,12,425.0
199,200,406.0
199,198,975.5
200,199,1061.5
200,201,503.0
200,11,429.0
201,202,67.5
201,200,886.0
201,206,498.0
201,165,308.0
202,203,67.5
202,201,145.5
203,207,243.0
203,160,157.5
203,202,145.5
203,204,104.5
204,205,156.5
204,203,145.5
204,161,0.0
205,208,30.5
205,204,145.5
